iter	RMSE
0	73274.84269
1	70160.11832
2	67432.19785
3	64908.11593
4	62344.33047
5	59944.22362
6	57787.8493
7	55705.01011
8	53621.94524
9	51629.66495
10	49937.81512
11	48352.34056
12	46791.80555
13	45433.85512
14	44053.71602
15	42848.29843
16	41508.68933
17	40225.46223
18	39242.14173
19	38251.6056
20	37248.7471
21	36313.29033
22	35429.7874
23	34670.60301
24	33818.31224
25	33030.91129
26	32433.24544
27	31802.44853
28	31165.03421
29	30603.96937
30	30171.77668
31	29578.95781
32	29116.53904
33	28582.61427
34	28124.52825
35	27785.60264
36	27402.56371
37	27055.1323
38	26680.20967
39	26320.67396
40	26016.54022
41	25758.54011
42	25502.38088
43	25256.92916
44	25010.89689
45	24781.4741
46	24547.31796
47	24333.98079
48	24137.56194
49	23926.59272
50	23736.65957
51	23555.40887
52	23326.9274
53	23137.38124
54	22961.94117
55	22805.15186
56	22680.36014
57	22543.62765
58	22409.13479
59	22266.75009
60	22143.04452
61	22043.98517
62	21926.66252
63	21814.62189
64	21695.1174
65	21591.41484
66	21509.37589
67	21403.91217
68	21288.66957
69	21213.46946
70	21110.55121
71	20997.55529
72	20919.24169
73	20857.95809
74	20782.44917
75	20682.60386
76	20614.64412
77	20562.17126
78	20474.28367
79	20399.90817
80	20334.15339
81	20265.18085
82	20200.22955
83	20148.04021
84	20107.17889
85	20036.18273
86	19987.66134
87	19958.54586
88	19894.90746
89	19812.19951
90	19772.86031
91	19721.78967
92	19660.14882
93	19617.34756
94	19560.25755
95	19503.39074
96	19456.03762
97	19413.94931
98	19348.51253
99	19307.46621
100	19253.65776
101	19195.18245
102	19161.17867
103	19115.85827
104	19067.85323
105	19028.60049
106	18982.24683
107	18935.40205
108	18903.42395
109	18867.82566
110	18822.44496
111	18791.19214
112	18745.45221
113	18705.51056
114	18656.82524
115	18618.4856
116	18592.62999
117	18556.24384
118	18517.36702
119	18477.36348
120	18445.41048
121	18414.73369
122	18384.31681
123	18352.2525
124	18325.61492
125	18292.9577
126	18263.4997
127	18234.7503
128	18209.25617
129	18175.38301
130	18138.52848
131	18117.99994
132	18092.35863
133	18065.10959
134	18022.80244
135	17999.19594
136	17965.065
137	17941.26035
138	17922.91247
139	17889.62994
140	17869.37935
141	17853.63702
142	17817.36163
143	17765.77391
144	17739.60091
145	17722.08912
146	17702.37262
147	17667.30563
148	17635.5215
149	17609.30656
150	17569.65748
151	17542.30429
152	17513.40214
153	17494.86962
154	17468.90266
155	17435.73064
156	17398.58807
157	17365.31071
158	17340.62782
159	17321.03537
160	17290.84378
161	17267.88452
162	17238.6102
163	17198.57463
164	17171.5349
165	17148.2784
166	17127.40062
167	17095.9579
168	17068.19816
169	17046.84515
170	17012.4944
171	16984.08086
172	16962.30073
173	16935.64184
174	16916.25904
175	16897.70141
176	16877.48064
177	16842.02035
178	16809.67143
179	16781.72377
180	16742.08437
