iter	Passed	Remaining
0	1	1469
1	3	1640
2	4	1508
3	5	1442
4	6	1393
5	8	1361
6	9	1345
7	10	1326
8	11	1310
9	12	1297
10	13	1287
11	15	1280
12	16	1271
13	17	1273
14	19	1296
15	20	1292
16	21	1296
17	23	1291
18	24	1289
19	25	1286
20	26	1281
21	28	1276
22	29	1274
23	30	1269
24	31	1264
25	32	1260
26	34	1281
27	35	1278
28	37	1272
29	38	1268
30	39	1266
31	40	1262
32	41	1259
33	43	1255
34	44	1253
35	45	1249
36	46	1246
37	47	1242
38	49	1238
39	50	1252
40	52	1249
41	53	1246
42	54	1242
43	55	1239
44	56	1236
45	57	1233
46	59	1230
47	60	1227
48	61	1223
49	62	1220
50	63	1217
51	65	1215
52	66	1225
53	68	1222
54	69	1219
55	70	1219
56	71	1221
57	73	1222
58	74	1222
59	75	1220
60	77	1218
61	78	1216
62	79	1213
63	80	1211
64	82	1213
65	83	1211
66	84	1208
67	85	1207
68	87	1204
69	88	1201
70	89	1199
71	90	1196
72	91	1194
73	92	1192
74	94	1189
75	95	1187
76	96	1184
77	97	1187
78	99	1188
79	100	1186
80	101	1183
81	102	1182
82	104	1179
83	105	1177
84	106	1175
85	107	1172
86	108	1170
87	109	1167
88	110	1165
89	112	1163
90	113	1168
91	115	1165
92	116	1164
93	117	1161
94	118	1159
95	119	1157
96	120	1154
97	121	1152
98	123	1152
99	124	1149
100	125	1147
101	126	1145
102	127	1142
103	129	1143
104	130	1144
105	131	1142
106	133	1140
107	134	1139
108	135	1137
109	136	1135
110	137	1133
111	138	1131
112	140	1129
113	141	1127
114	142	1125
115	143	1123
116	144	1123
117	146	1123
118	147	1121
119	148	1120
120	149	1118
121	151	1116
122	152	1114
123	153	1113
124	154	1110
125	155	1108
126	156	1107
127	157	1105
128	159	1103
129	160	1101
130	161	1104
131	163	1102
132	164	1100
133	165	1098
134	166	1096
135	167	1094
136	168	1093
137	169	1091
138	171	1090
139	172	1088
140	173	1086
141	174	1085
142	175	1083
143	177	1084
144	178	1082
145	179	1081
146	180	1079
147	182	1077
148	183	1075
149	184	1073
150	185	1072
151	186	1070
152	187	1068
153	188	1066
154	190	1065
155	191	1063
156	192	1063
157	194	1064
158	195	1062
159	196	1060
160	197	1059
161	198	1057
162	200	1056
163	201	1055
164	202	1053
165	203	1051
166	204	1050
167	205	1048
168	206	1046
169	208	1047
170	209	1046
171	210	1044
172	211	1042
173	213	1041
174	214	1040
175	215	1038
176	216	1036
177	217	1035
178	219	1033
179	220	1032
180	221	1031
181	222	1030
182	224	1029
183	225	1030
184	226	1028
185	227	1027
186	229	1025
187	230	1023
188	231	1022
189	232	1021
190	233	1019
191	234	1017
192	236	1016
193	237	1015
194	238	1013
195	239	1012
196	241	1011
197	242	1010
198	243	1008
199	244	1007
200	245	1006
201	246	1004
202	248	1003
203	249	1001
204	250	1000
205	251	998
206	252	997
207	253	995
208	255	994
209	256	995
210	258	994
211	259	992
212	260	991
213	261	989
214	262	988
215	263	986
216	264	985
217	266	984
218	267	982
219	268	981
220	269	980
221	270	978
222	272	979
223	273	978
224	274	976
225	276	974
226	277	974
227	278	972
228	279	971
229	280	969
230	282	968
231	283	966
232	284	965
233	285	963
234	286	962
235	288	962
236	289	961
237	290	960
238	292	959
239	293	957
240	294	956
241	295	954
242	296	953
243	297	952
244	299	950
245	300	949
246	301	948
247	302	946
248	304	946
249	305	945
250	306	944
251	307	942
252	308	941
253	310	939
254	311	938
255	312	937
256	313	936
257	314	934
258	316	933
259	317	931
260	318	930
261	319	930
262	321	929
263	322	927
264	323	926
265	324	925
266	325	924
267	327	922
268	328	921
269	329	920
270	330	918
271	331	917
272	333	916
273	334	914
274	335	914
275	337	913
276	338	912
277	339	910
278	340	909
279	341	907
280	342	906
281	343	904
282	345	903
283	346	902
284	347	900
285	348	899
286	349	898
287	351	898
288	352	897
289	354	896
290	355	894
291	356	893
292	357	892
293	358	890
294	359	889
295	361	888
296	362	886
297	363	885
298	364	883
299	365	882
300	367	882
301	368	880
302	369	879
303	370	878
304	371	876
305	373	875
306	374	874
307	375	873
308	376	871
309	377	870
310	379	869
311	380	867
312	381	866
313	382	865
314	384	865
315	385	863
316	386	862
317	387	861
318	389	859
319	390	858
320	391	857
321	392	856
322	393	854
323	394	853
324	396	851
325	397	850
326	398	849
327	399	848
328	401	847
329	402	846
330	403	844
331	404	843
332	405	842
333	407	840
334	408	839
335	409	838
336	410	836
337	411	835
338	412	834
339	414	833
340	415	832
341	416	831
342	417	829
343	419	828
344	420	827
345	421	825
346	422	824
347	423	823
348	424	821
349	425	820
350	427	818
351	428	817
352	429	816
353	431	816
354	432	815
355	433	813
356	434	812
357	435	810
358	437	809
359	438	808
360	439	807
361	440	805
362	441	804
363	442	802
364	444	801
365	445	800
366	446	799
367	447	798
368	449	797
369	450	795
370	451	794
371	452	793
372	453	791
373	454	790
374	456	789
375	457	788
376	458	786
377	459	785
378	460	784
379	478	810
380	482	813
381	485	816
382	489	818
383	492	820
384	495	822
385	498	823
386	500	823
387	502	823
388	504	823
389	506	823
390	508	822
391	510	822
392	512	822
393	513	821
394	515	820
395	517	820
396	518	819
397	519	817
398	521	816
399	522	815
400	524	814
401	525	812
402	527	812
403	529	812
404	530	810
405	531	809
406	532	807
407	533	805
408	534	804
409	536	802
410	537	801
411	538	799
412	539	798
413	540	797
414	543	797
415	544	795
416	545	794
417	546	792
418	547	791
419	549	789
420	550	788
421	551	786
422	552	785
423	553	783
424	554	782
425	556	780
426	557	779
427	559	778
428	560	777
429	561	775
430	562	774
431	563	772
432	564	771
433	566	769
434	567	768
435	568	766
436	570	765
437	571	764
438	572	762
439	573	761
440	575	760
441	576	758
442	577	757
443	578	755
444	579	754
445	580	752
446	581	751
447	583	749
448	584	748
449	585	746
450	586	745
451	588	744
452	589	742
453	590	741
454	592	740
455	593	739
456	594	737
457	595	736
458	596	734
459	598	733
460	599	731
461	600	730
462	601	729
463	603	727
464	604	726
465	605	725
466	607	723
467	608	722
468	609	721
469	610	719
470	611	718
471	612	716
472	614	715
473	615	714
474	616	712
475	617	711
476	618	709
477	620	708
478	621	707
479	623	706
480	624	704
481	625	703
482	626	702
483	628	700
484	629	699
485	630	697
486	631	696
487	632	694
488	633	693
489	635	692
490	636	690
491	638	689
492	639	688
493	640	687
494	641	685
495	642	684
496	644	682
497	645	681
498	646	680
499	647	678
500	648	677
501	650	676
502	651	674
503	652	673
504	653	672
505	655	670
506	656	669
507	657	667
508	658	666
509	659	665
510	661	663
511	662	662
512	663	661
513	664	659
514	666	658
515	667	656
516	668	655
517	670	654
518	671	653
519	672	652
520	673	650
521	675	649
522	676	647
523	677	646
524	678	644
525	679	643
526	680	642
527	681	640
528	683	639
529	684	638
530	686	637
531	687	635
532	688	634
533	689	633
534	691	631
535	692	630
536	693	628
537	694	627
538	695	625
539	696	624
540	698	623
541	699	621
542	700	620
543	704	621
544	705	620
545	706	618
546	707	617
547	709	615
548	710	614
549	711	613
550	712	611
551	714	610
552	715	609
553	716	607
554	718	606
555	719	605
556	720	604
557	721	602
558	722	601
559	723	599
560	725	598
561	726	597
562	727	595
563	728	594
564	729	593
565	731	591
566	732	590
567	733	589
568	735	587
569	736	586
570	737	585
571	738	583
572	739	582
573	741	580
574	742	579
575	743	578
576	744	576
577	745	575
578	747	574
579	748	573
580	749	571
581	751	570
582	752	569
583	753	567
584	754	566
585	755	564
586	756	563
587	758	562
588	759	560
589	760	559
590	761	558
591	762	556
592	764	555
593	765	554
594	767	553
595	768	551
596	769	550
597	770	549
598	771	547
599	773	546
600	774	544
601	775	543
602	776	542
603	777	540
604	779	539
605	780	538
606	781	537
607	783	535
608	784	534
609	785	533
610	786	531
611	787	530
612	788	528
613	790	527
614	791	526
615	792	524
616	793	523
617	794	522
618	795	520
619	797	519
620	798	518
621	799	517
622	801	515
623	802	514
624	803	512
625	804	511
626	805	510
627	807	508
628	808	507
629	809	506
630	810	504
631	811	503
632	813	502
633	814	501
634	815	499
635	817	498
636	818	497
637	819	495
638	820	494
639	821	493
640	822	491
641	823	490
642	825	488
643	826	487
644	827	486
645	829	485
646	830	483
647	831	482
648	832	481
649	833	479
650	834	478
651	836	477
652	837	475
653	838	474
654	839	473
655	840	471
656	842	470
657	844	469
658	845	468
659	846	466
660	847	465
661	848	464
662	849	462
663	851	461
664	852	460
665	853	458
666	854	457
667	855	455
668	856	454
669	858	453
670	859	452
671	861	451
672	862	449
673	863	448
674	864	446
675	865	445
676	866	444
677	868	442
678	869	441
679	870	440
680	871	438
681	872	437
682	873	436
683	874	434
684	876	433
685	877	432
686	878	431
687	879	429
688	881	428
689	882	427
690	883	425
691	884	424
692	885	423
693	887	421
